"CENSUS_YEAR","SA2_RES_CODE","SA2_RES_NAME_STD","CBD_COMMUTERS","TOTAL_COMMUTERS_OD","CBD_DEPENDENCY_RATE"
2021,101041024,"Eurobodalla Hinterland",0,1315,0
2021,109031183,"Deniliquin Surrounds",0,2407,0
2021,127011597,"West Hoxton - Middleton Grange",599,7122,0.0841055883178882336422353271552934568941
2021,126021722,"Denistone",728,3112,0.2339331619537275064267352185089974293059
2021,125031715,"Pemulwuy - Greystanes (North)",586,4583,0.1278638446432467815841152083787911848134
2016,128021607,"Engadine",1245,7991,0.155800275309723438868727318233012138656
2016,111021218,"Morisset - Cooranbong",67,5152,0.0130046583850931677018633540372670807453
2016,111031227,"Mayfield - Warabrook",28,6579,0.004255965952272381820945432436540507675939
2016,125031484,"Guildford West - Merrylands West",817,7364,0.1109451385116784356328082563824008690929
2016,118011345,"Paddington - Moore Park",4834,8623,0.5605937608720862808767250376898991070393
2016,105031103,"Dubbo Region",7,2607,0.002685078634445723053317990026850786344457
2016,106041128,"Scone",0,2529,0
2016,110021191,"Inverell",10,4309,0.002320724065908563471803202599210953817591
2021,101021009,"Queanbeyan",5,1882,0.00265674814027630180658873538788522848034
2021,103031074,"Mudgee Surrounds - West",25,4452,0.005615453728661275831087151841868823000898
2021,112021249,"Lismore Surrounds",31,6727,0.004608294930875576036866359447004608294931
2021,114011278,"Nowra",43,8117,0.005297523715658494517678945423185906122952
2021,118021654,"South Coogee",759,2222,0.3415841584158415841584158415841584158416
2011,102011038,"Saratoga - Davistown",0,2009,0
2016,101041019,"Bega - Tathra",6,3220,0.001863354037267080745341614906832298136646
2016,111011213,"Valentine - Eleebana",43,5359,0.00802388505318156372457548050009330098899
2016,111031222,"Adamstown - Kotara",42,7138,0.005884001120762118240403474362566545250771
2016,102011034,"Kincumber - Picketts Valley",124,2678,0.0463032113517550410754294249439880507842
2016,103031074,"Mudgee Region - West",13,3779,0.003440063508864779042074622916115374437682
2021,112011236,"Ballina",27,6691,0.004035271259901360035869077865789866985503
2021,121011683,"Castle Cove - Northbridge",2073,5916,0.3504056795131845841784989858012170385396
2021,126021501,"North Ryde - East Ryde",1934,7554,0.256023298914482393433942282234577707175
2011,101021010,"Queanbeyan - East",0,737,0
2011,101031014,"Cooma",0,2430,0
2011,102021057,"Wyong",0,2001,0
2016,101051540,"Goulburn Region",38,4881,0.007785289899610735505019463224749026838763
2016,112011238,"Bangalow",8,2247,0.003560302625723186470850022251891410769915
2016,127021513,"Canley Vale - Canley Heights",823,7036,0.1169698692438885730528709494030699260944
2016,127031523,"Chipping Norton - Moorebank",1004,8249,0.1217117226330464298702873075524305976482
2016,128021534,"Illawong - Alfords Point",870,5466,0.1591657519209659714599341383095499451153
2016,125041589,"Wentworthville - Westmead",1319,6628,0.199004224502112251056125528062764031382
2016,114011280,"Sussex Inlet - Berrara",5,1063,0.004703668861712135465663217309501411100659
2016,117011325,"Sydney Airport",0,4,0
2021,111031230,"Newcastle Port - Kooragang",0,6,0
